latitude,longitude,cluster
37.80041432,-122.424363,2.076923077
37.80087263,-122.4269953,2.010204082
37.79984122,-122.4360492,2.03164557
37.7956417,-122.4318307,1.909090909
37.78932277,-122.4305518,2.184210526
37.78885384,-122.4346894,1.986666667
37.80427189,-122.4482784,2.006269592
37.79116853,-122.4342252,2.130434783
37.79115119,-122.4343619,2.205128205
37.79848677,-122.4466404,2.205128205
37.80336134,-122.4241235,2.004032258
37.79855258,-122.4239859,2.025641026
37.79853205,-122.4391584,1.818181818
37.80480116,-122.4345615,1.55
37.80505202,-122.4329516,1.925465839
37.79943523,-122.4401987,1.818181818
37.80085417,-122.4438964,2
37.80053487,-122.4455311,2
37.79850023,-122.4248305,1.794871795
37.79864806,-122.4307492,2.173913043
37.80393523,-122.4267565,1.931034483
37.79993194,-122.4393685,2.010204082
37.80344058,-122.4461169,2
37.80040249,-122.4395049,1.96
37.79920972,-122.441854,2.011904762
37.80130415,-122.4245419,2.024096386
37.79027379,-122.4341852,1.913043478
37.79829129,-122.426474,1.836734694
37.80084716,-122.4246213,1.982758621
37.80421642,-122.4470999,1.647058824
37.79961997,-122.4368633,2.009345794
37.79304577,-122.4304708,2.066666667
37.79872822,-122.435751,2.134408602
37.79750148,-122.4318099,1.896551724
37.8023065,-122.4433887,2.153846154
37.79251071,-122.4413342,1.8
37.79802059,-122.4356798,1.933333333
37.79729795,-122.4338505,2.026315789
37.80029798,-122.4398959,1.972222222
37.79936794,-122.432582,1.8
37.80047908,-122.4319777,2.095238095
37.80170879,-122.4366425,2.217391304
37.7981999,-122.4305865,1.727272727
37.7981582,-122.4459498,1.714285714
37.80516257,-122.4329574,1.8125
37.79650277,-122.4439258,2.8
37.7984811,-122.4400039,2
37.79962242,-122.4360718,1.583333333
37.80150331,-122.4237544,2
37.79864571,-122.4453872,2.3125
37.7994111,-122.4385083,1.945205479
37.7935581,-122.4330919,1.75
37.79256043,-122.4405044,1.608695652
37.78953369,-122.4289097,1.85106383
37.79350463,-122.4339378,2.074074074
37.78764724,-122.4437545,1.65
37.79138105,-122.4360294,2.136363636
37.7878556,-122.4421124,1.911764706
37.79678084,-122.4303718,2.05
37.8006947,-122.4367758,2.179856115
37.8032668,-122.4316829,1.725
37.79029113,-122.4340485,1.775862069
37.7879051,-122.4412799,1.837837838
37.79156871,-122.4310732,1.800865801
37.79221682,-122.4294501,2
37.80304553,-122.4257469,1.944444444
37.79505248,-122.4291937,2.076923077
37.79771458,-122.4310092,1.916666667
37.79871835,-122.4358892,2.084337349
37.79137695,-122.432584,2
37.79807234,-122.4240604,2.058823529
37.80277549,-122.4246563,1.5
37.79700055,-122.4455766,1.555555556
37.79745472,-122.4330522,1.941747573
37.80175154,-122.4363282,2.06779661
37.79800281,-122.4471633,2.444444444
37.80003745,-122.4335754,2.025
37.78938922,-122.4338668,1.964285714
37.79978712,-122.4292937,1.736842105
37.7987907,-122.4434794,2.068965517
37.7986829,-122.4446151,2.19047619
37.80500746,-122.4392806,1.9
37.79013066,-122.4383202,1.916666667
37.7981336,-122.4272706,2.135135135
37.79760995,-122.4318319,2.095744681
37.78718694,-122.44359,1.764705882
37.79308404,-122.4372284,2.416666667
37.79818282,-122.4264521,1.961538462
37.79078862,-122.4331552,1.8
37.79330657,-122.4279865,1.933333333
37.79004261,-122.4323877,2.142857143
37.79522525,-122.4351154,2.45
37.79724575,-122.434695,1.813084112
37.78983713,-122.43403,1.785714286
37.79442232,-122.4341235,1.625
37.7906842,-122.4339761,1.75
37.79517315,-122.4359639,1.952380952
37.79963284,-122.4376985,2.02020202
37.79796851,-122.436529,2.25
37.7994246,-122.4393375,2
37.79247915,-122.4420175,2.444444444
37.79120626,-122.4444812,2.176470588
37.80528372,-122.4416075,1.733333333
37.80108051,-122.4253567,1.666666667
37.78842878,-122.4338136,2.197368421
37.80539822,-122.4423051,1.947368421
37.80283604,-122.4467501,1.846153846
37.80458291,-122.4362748,2.235294118
37.79909132,-122.4461376,2.0625
37.79489446,-122.4299905,1.75862069
37.78890624,-122.4338431,1.923076923
37.79484181,-122.4308384,2.081632653
37.79750617,-122.4322081,1.773809524
37.80414615,-122.4251106,1.970760234
37.79694504,-122.4254135,1.875
37.8004687,-122.4311185,1.93442623
37.79754647,-122.4464741,2
37.79671538,-122.442255,2.75
37.79760611,-122.4309873,2.019230769
37.80027029,-122.4336222,2.141509434
37.78967688,-122.4348551,1.941176471
37.80507699,-122.4253009,2.050724638
37.80455199,-122.4336993,2.016666667
37.80556003,-122.4252211,2.01369863
37.8039621,-122.4401969,2.428571429
37.80070047,-122.4376055,1.972972973
37.80479608,-122.4429858,1.769230769
37.79371455,-122.4322952,2.119047619
37.79671866,-122.4379633,2
37.78874537,-122.4346674,1.928571429
37.79734625,-122.4330303,1.892307692
37.7970364,-122.4363405,2.24137931
37.80207075,-122.4263793,2.222222222
37.80081266,-122.4362753,2.011976048
37.80262695,-122.4366965,1.977777778
37.79413454,-122.4290083,2.031746032
37.80211881,-122.4298313,2.285714286
37.79845823,-122.4473055,2
37.80118416,-122.4295024,1.851851852
37.79559188,-122.4326752,1.76
37.79719996,-122.4270837,2.230769231
37.79771442,-122.4305623,2.168831169
37.79216492,-122.4302963,2
37.79776457,-122.4297413,1.898989899
37.7979254,-122.4289165,1.625
37.7912567,-122.4436574,2.16
37.78937189,-122.4340035,2
37.79351756,-122.4263374,1.921052632
37.78945693,-122.4441204,1.933333333
37.79246536,-122.4311107,2.153846154
37.80112442,-122.4413725,2.181818182
37.78901271,-122.4334402,2
37.80339088,-122.439315,1.909090909
37.79558474,-122.4285114,1.6
37.79037674,-122.443482,2.454545455
37.79223952,-122.4328986,1.5
37.79899931,-122.4435204,2.178343949
37.802616,-122.4403592,2
37.80321403,-122.4325304,1.933823529
37.8023743,-122.4315005,2.391304348
37.78946921,-122.4365008,1.722222222
37.80018817,-122.4411784,1.904109589
37.80235195,-122.4467256,1.724137931
37.80116687,-122.4296391,1.6875
37.79183991,-122.4360483,1.466666667
37.78769516,-122.4429362,2.071428571
37.79920897,-122.4334074,2
37.79712709,-122.4431416,1.933333333
37.79808223,-122.4281182,2
37.8062092,-122.42437,2.2
37.79901433,-122.4283065,2.129032258
37.78927209,-122.4314006,2
37.79314674,-122.428809,2.038461538
37.7964593,-122.4404231,2.333333333
37.79834173,-122.4256282,1.777777778
37.78844612,-122.4336769,2.047619048
37.79843705,-122.432395,2.157894737
37.80163064,-122.4478214,2.074074074
37.80044184,-122.4278052,2.3
37.80558083,-122.4439852,1.909090909
37.80066386,-122.4286408,1.962962963
37.79599758,-122.4361306,2.25
37.79744183,-122.4397938,2.125
37.79683126,-122.4295529,1.818181818
37.79999533,-122.4276478,1.954545455
37.80258248,-122.429858,1.727272727
37.79085524,-122.4468115,1.8
37.79494403,-122.4291716,2.058823529
37.79203536,-122.4455045,2.117647059
37.80162399,-122.4448959,2.166666667
37.79938572,-122.4343401,1.6
37.79708696,-122.4354927,2
37.79929592,-122.4443509,2.1
37.80096067,-122.4422062,2.071428571
37.80165434,-122.4296711,2.083333333
